authority,version,code,name,semiMajorAxis,semiMedianAxis,semiMinorAxis,inverseFlatenning
IAU,2015,99900,Pluto (2015) - Sphere,1188300.0,,1188300.0,
IAU,2015,99901,Pluto (2015),1188300.0,,1188300.0,
IAU,2015,100001200,Churyumov-Gerasimenko (2015) - Sphere,1650.0,,1650.0,
IAU,2015,100001202,Churyumov-Gerasimenko (2015),2400.0,1550.0,1200.0,
IAU,2015,100003600,Halley (2015) - Sphere,8000.0,,8000.0,
IAU,2015,100004100,Hartley 2 (2015) - Sphere,340.0,,340.0,
IAU,2015,100004101,Hartley 2 (2015),340.0,,1160.0,
IAU,2015,100010700,Wild 2 (2015) - Sphere,1975.0,,1975.0,
IAU,2015,100010702,Wild 2 (2015),2700.0,1900.0,1500.0,
IAU,2015,200000100,Ceres (2015) - Sphere,487300.0,,487300.0,
IAU,2015,200000101,Ceres (2015),487300.0,,446000.0,
IAU,2015,200000400,Vesta (2015) - Sphere,255000.0,,255000.0,
IAU,2015,200000402,Vesta (2015),289000.0,280000.0,229000.0,
IAU,2015,200001600,Psyche (2015) - Sphere,113000.0,,113000.0,
IAU,2015,200001602,Psyche (2015),139500.0,116000.0,94500.0,
IAU,2015,200002100,Lutetia (2015) - Sphere,52500.0,,52500.0,
IAU,2015,200002102,Lutetia (2015),62000.0,50500.0,46500.0,
IAU,2015,200005200,52 Europa (2015) - Sphere,157500.0,,157500.0,
IAU,2015,200005202,52 Europa (2015),189500.0,165000.0,124500.0,
IAU,2015,200021600,Kleopatra (2015) - Sphere,65333.333333333336,,65333.333333333336,
IAU,2015,200021602,Kleopatra (2015),108500.0,47000.0,40500.0,
IAU,2015,200025300,Mathilde (2015) - Sphere,26500.0,,26500.0,
IAU,2015,200025302,Mathilde (2015),33000.0,24000.0,23000.0,
IAU,2015,200043300,Eros (2015) - Sphere,17000.0,,17000.0,
IAU,2015,200043301,Eros (2015),17000.0,,5500.0,
IAU,2015,200051100,Davida (2015) - Sphere,150000.0,,150000.0,
IAU,2015,200051102,Davida (2015),180000.0,147000.0,127000.0,
IAU,2015,200286700,Steins (2015) - Sphere,2700.0,,2700.0,
IAU,2015,200286702,Steins (2015),3240.0,2730.0,2040.0,
IAU,2015,200417900,Toutatis (2015) - Sphere,1331.6666666666667,,1331.6666666666667,
IAU,2015,200417902,Toutatis (2015),2130.0,1015.0,850.0,
IAU,2015,202514300,Itokawa (2015) - Sphere,173.0,,173.0,
IAU,2015,202514302,Itokawa (2015),268.0,147.0,104.0,
IAU,2015,243101000,Ida (2015) - Sphere,15650.0,,15650.0,
IAU,2015,243101002,Ida (2015),26800.0,12000.0,7600.0,
IAU,2015,951101000,Gaspra (2015) - Sphere,6100.0,,6100.0,
IAU,2015,951101002,Gaspra (2015),9100.0,5200.0,4400.0,
