authority,version,code,name,datum,csType,longitudeDirection
IAU,2015,71201,Portia (2015) / Ocentric,IAU:2015:71200,spherical,east
IAU,2015,71300,Rosalind (2015) / Ographic,IAU:2015:71300,ellipsoidal,east
IAU,2015,71301,Rosalind (2015) / Ocentric,IAU:2015:71300,spherical,east
IAU,2015,71400,Belinda (2015) / Ographic,IAU:2015:71400,ellipsoidal,east
IAU,2015,71401,Belinda (2015) / Ocentric,IAU:2015:71400,spherical,east
IAU,2015,71500,Puck (2015) / Ographic,IAU:2015:71500,ellipsoidal,east
IAU,2015,71501,Puck (2015) / Ocentric,IAU:2015:71500,spherical,east
IAU,2015,79900,Uranus (2015) / Ographic,IAU:2015:79900,ellipsoidal,east
IAU,2015,79901,Uranus (2015) / Ocentric,IAU:2015:79900,spherical,east
IAU,2015,80100,Triton (2015) / Ographic,IAU:2015:80100,ellipsoidal,east
IAU,2015,80101,Triton (2015) / Ocentric,IAU:2015:80100,spherical,east
IAU,2015,80201,Nereid (2015) / Ocentric,IAU:2015:80200,spherical,east
IAU,2015,80300,Naiad (2015) / Ographic,IAU:2015:80300,ellipsoidal,west
IAU,2015,80301,Naiad (2015) / Ocentric,IAU:2015:80300,spherical,east
IAU,2015,80400,Thalassa (2015) / Ographic,IAU:2015:80400,ellipsoidal,west
IAU,2015,80401,Thalassa (2015) / Ocentric,IAU:2015:80400,spherical,east
IAU,2015,80500,Despina (2015) / Ographic,IAU:2015:80500,ellipsoidal,west
IAU,2015,80501,Despina (2015) / Ocentric,IAU:2015:80500,spherical,east
IAU,2015,80600,Galatea (2015) / Ographic,IAU:2015:80600,ellipsoidal,west
IAU,2015,80601,Galatea (2015) / Ocentric,IAU:2015:80600,spherical,east
IAU,2015,80700,Larissa (2015) / Ographic,IAU:2015:80700,ellipsoidal,west
IAU,2015,80701,Larissa (2015) / Ocentric,IAU:2015:80700,spherical,east
IAU,2015,80800,Proteus (2015) / Ographic,IAU:2015:80800,ellipsoidal,west
IAU,2015,80801,Proteus (2015) / Ocentric,IAU:2015:80800,spherical,east
